org_fhir_url,npi
https://example.com/base/Organization/example-organization-1,1407071236
https://oauth.ipatientcare.net/api/Organization/e167a65d-9b75-11ef-91a9-0a34c90c8dcf,1346280260
https://oauth.ipatientcare.net/api/Organization/e2cb19e7-9b75-11ef-91a9-0a34c90c8dcf,1245545789
https://oauth.ipatientcare.net/api/Organization/e2c7aea2-9b75-11ef-91a9-0a34c90c8dcf,1043699168
https://oauth.ipatientcare.net/api/Organization/e218b952-9b75-11ef-91a9-0a34c90c8dcf,1841254232
https://oauth.ipatientcare.net/api/Organization/e1cf8f58-9b75-11ef-91a9-0a34c90c8dcf,1588746291
https://oauth.ipatientcare.net/api/Organization/e2937420-9b75-11ef-91a9-0a34c90c8dcf,1649743220
https://oauth.ipatientcare.net/api/Organization/e281619e-9b75-11ef-91a9-0a34c90c8dcf,1083385181
https://oauth.ipatientcare.net/api/Organization/e216b70f-9b75-11ef-91a9-0a34c90c8dcf,1861734436
https://oauth.ipatientcare.net/api/Organization/e1b72a7f-9b75-11ef-91a9-0a34c90c8dcf,1427457514
https://oauth.ipatientcare.net/api/Organization/e2c98890-9b75-11ef-91a9-0a34c90c8dcf,1174570774
https://oauth.ipatientcare.net/api/Organization/e12fe442-9b75-11ef-91a9-0a34c90c8dcf,1558690446
https://oauth.ipatientcare.net/api/Organization/e2b4a976-9b75-11ef-91a9-0a34c90c8dcf,1205852746
https://oauth.ipatientcare.net/api/Organization/e1e2be2f-9b75-11ef-91a9-0a34c90c8dcf,1720276934
https://oauth.ipatientcare.net/api/Organization/e2a85c82-9b75-11ef-91a9-0a34c90c8dcf,1508853797
https://oauth.ipatientcare.net/api/Organization/e2493e0a-9b75-11ef-91a9-0a34c90c8dcf,1780758763
https://oauth.ipatientcare.net/api/Organization/e153eff2-9b75-11ef-91a9-0a34c90c8dcf,1962794693
https://oauth.ipatientcare.net/api/Organization/e1f49e89-9b75-11ef-91a9-0a34c90c8dcf,1215942073
https://oauth.ipatientcare.net/api/Organization/e1d62b7d-9b75-11ef-91a9-0a34c90c8dcf,1194765941
https://oauth.ipatientcare.net/api/Organization/e117a321-9b75-11ef-91a9-0a34c90c8dcf,1649412958
https://oauth.ipatientcare.net/api/Organization/e1ee1a07-9b75-11ef-91a9-0a34c90c8dcf,1154075984
